
time,gFx,gFy,gFz,ax,ay,az,p,Bx,By,Bz,Azimuth,Pitch,Roll,Gain,
0.017790,0.0106,0.0140,0.9990,0.2546,0.0926,-0.1284,1006.3236,23.1190,12.4562,-41.1140,298.7864,-1.1478,1.6343,-∞,
0.017940,0.0106,0.0140,0.9990,0.2546,0.0926,-0.1284,1006.3236,23.1190,12.4562,-41.1140,298.7864,-1.1478,1.6343,-∞,
0.061592,-0.0027,0.0274,0.9850,0.2339,0.0965,-0.0257,1006.3267,23.1922,11.9926,-41.5898,298.7872,-1.1477,1.6310,-∞,
0.162249,0.0361,0.0360,1.0125,0.1986,0.1390,0.0768,1006.3145,23.5582,11.7364,-41.5654,298.7868,-1.1509,1.6334,-∞,
0.262360,0.0059,0.0199,1.0040,0.3009,0.1813,-0.0558,1006.3419,24.3512,11.9194,-40.9554,298.7852,-1.1554,1.6379,-∞,
0.362834,0.0037,0.0166,0.9910,0.2151,0.1094,0.0608,1006.2961,22.9116,12.1756,-41.2970,298.7839,-1.1624,1.6417,-∞,
0.463079,0.0137,0.0184,1.0119,0.2411,-0.0018,0.0312,1006.3236,23.3630,11.5534,-41.3580,298.7817,-1.1640,1.6439,83.9082,
0.563682,0.0140,0.0131,1.0050,0.2336,0.0809,0.0867,1006.2809,23.4850,11.9926,-41.6752,298.7806,-1.1650,1.6453,83.9082,
0.663850,0.0271,0.0140,0.9844,0.2070,0.0287,0.0152,1006.3541,23.3874,11.9926,-41.8826,298.7813,-1.1663,1.6472,83.9082,
0.764479,0.0203,0.0257,0.9897,0.3519,0.0142,-0.1353,1006.3114,24.0462,11.6388,-41.9436,298.7807,-1.1651,1.6440,88.5110,
0.864733,0.0219,0.0065,1.0001,0.3619,0.0696,-0.1126,1006.3267,23.5704,11.8218,-41.6752,298.7789,-1.1618,1.6370,88.5110,
0.965028,0.0206,0.0077,0.9985,0.3545,0.0688,-0.0550,1006.3480,23.6802,11.9926,-41.5776,298.7790,-1.1573,1.6299,88.5110,
1.065057,0.0094,0.0145,0.9896,0.2527,0.0510,-0.0113,1006.3236,23.5948,12.3708,-40.8944,298.7797,-1.1550,1.6197,92.8957,
1.165834,0.0073,0.0114,1.0008,0.2218,0.0619,0.0541,1006.3450,23.6924,12.3586,-41.4922,298.7780,-1.1514,1.6110,92.8957,
1.265886,-0.0065,0.0123,1.0183,0.2591,0.0652,-0.0574,1006.3267,23.8876,12.2732,-41.3824,298.7757,-1.1475,1.6006,92.8957,
1.366929,0.0093,0.0181,1.0049,0.1915,0.0251,0.0245,1006.3267,23.3752,11.9194,-41.0774,298.7742,-1.1477,1.5912,91.6131,
1.467165,0.0111,0.0134,0.9923,0.1964,0.0492,-0.0160,1006.3480,23.3752,11.9194,-40.9798,298.7717,-1.1441,1.5818,91.6131,
1.567302,0.0135,0.0226,1.0013,0.2311,0.0597,0.0245,1006.3175,23.8876,12.2732,-41.2848,298.7678,-1.1429,1.5686,91.6131,
1.667364,0.0103,0.0164,1.0020,0.2700,0.0508,-0.1434,1006.3572,23.7900,12.1756,-41.3824,298.7670,-1.1413,1.5641,90.5925,
1.767762,0.0223,0.0154,1.0008,0.3109,0.0552,0.0078,1006.3785,23.6070,12.4684,-40.2966,298.7639,-1.1394,1.5533,90.5925,
1.867948,0.0299,0.0150,0.9943,0.3586,0.0562,-0.0409,1006.3511,23.6924,12.1878,-41.2848,298.7624,-1.1356,1.5496,90.5925,
1.968287,0.0218,0.0090,0.9994,0.3451,0.0090,0.0225,1006.3755,23.7656,11.8218,-41.6630,298.7612,-1.1342,1.5387,90.6872,
2.068674,0.0045,0.0128,1.0039,0.2444,0.0273,0.0138,1006.3878,24.1560,11.9194,-40.9554,298.7603,-1.1332,1.5298,90.6872,
2.169096,0.0004,0.0097,0.9939,0.2645,0.0013,-0.1422,1006.3511,22.9116,12.2610,-41.4068,298.7603,-1.1296,1.5281,90.6872,
2.270619,0.0034,0.0212,0.9943,0.2203,0.0380,-0.1175,1006.3511,23.3630,11.7364,-41.4678,298.7589,-1.1249,1.5168,90.9685,
2.372065,0.0119,0.0054,1.0077,0.2060,-0.0027,-0.0066,1006.3725,23.9852,12.3586,-41.5898,298.7581,-1.1220,1.5014,90.9685,
2.472092,0.0069,0.0213,1.0114,0.2330,0.0222,-0.0163,1006.3542,23.3630,11.6388,-41.9680,298.7569,-1.1179,1.4819,90.9685,
2.572658,0.0074,0.0176,1.0172,0.2281,0.0696,-0.0295,1006.3450,23.3874,11.9926,-41.5776,298.7544,-1.1142,1.4582,92.0931,
2.672956,0.0134,0.0177,1.0039,0.3047,0.0513,0.1508,1006.3908,23.1068,12.2610,-41.9070,298.7505,-1.1098,1.4405,92.0931,
2.773185,0.0092,0.0186,0.9916,0.2667,0.0455,-0.1301,1006.3755,23.9608,11.9194,-41.2604,298.7477,-1.1101,1.4244,92.0931,
2.873234,0.0195,0.0159,0.9858,0.2579,-0.0306,-0.1584,1006.3726,23.8876,12.1756,-41.5776,298.7457,-1.1091,1.4150,91.6392,
2.973580,0.0020,0.0096,1.0018,0.2520,0.0036,-0.1079,1006.3451,23.3874,12.0048,-41.2848,298.7456,-1.1022,1.4022,91.6392,
