# Centrifugal pump performance map (synthetic sample data)
# Generated from pump affinity laws - not measured data
# Grouped-plot inputs: Speed_RPM, Impeller_mm; X: Flow_m3h
Speed_RPM,Impeller_mm,Flow_m3h,Head_m,Efficiency_pct,Power_kW,NPSHr_m
1160,210,2.68,7.30,20.4,0.26,0.25
1160,210,4.29,7.22,31.1,0.27,0.26
1160,210,5.90,7.11,40.7,0.28,0.29
1160,210,7.50,6.97,49.1,0.29,0.32
1160,210,9.11,6.78,56.5,0.30,0.35
1160,210,10.72,6.57,62.7,0.31,0.39
1160,210,12.33,6.31,67.7,0.31,0.44
1160,210,13.93,6.03,71.7,0.32,0.50
1160,210,15.54,5.70,74.5,0.32,0.56
1160,210,17.15,5.34,76.2,0.33,0.63
1160,210,18.76,4.95,76.8,0.33,0.71
1160,210,20.37,4.52,76.2,0.33,0.79
1160,210,21.97,4.06,74.5,0.33,0.89
1160,210,23.58,3.56,71.7,0.32,0.98
1160,210,25.19,3.02,67.7,0.31,1.09
1160,210,26.80,2.45,62.7,0.28,1.20
1160,225,3.30,8.38,20.5,0.37,0.25
1160,225,5.27,8.29,31.3,0.38,0.26
1160,225,7.25,8.17,41.0,0.39,0.29
1160,225,9.23,8.00,49.5,0.41,0.32
1160,225,11.21,7.79,56.9,0.42,0.35
1160,225,13.18,7.54,63.2,0.43,0.39
1160,225,15.16,7.25,68.3,0.44,0.44
1160,225,17.14,6.92,72.3,0.45,0.50
1160,225,19.12,6.55,75.1,0.45,0.56
1160,225,21.09,6.13,76.8,0.46,0.63
1160,225,23.07,5.68,77.4,0.46,0.71
1160,225,25.05,5.19,76.8,0.46,0.79
1160,225,27.03,4.66,75.1,0.46,0.89
1160,225,29.00,4.08,72.3,0.45,0.98
1160,225,30.98,3.47,68.3,0.43,1.09
1160,225,32.96,2.81,63.2,0.40,1.20
1160,240,4.00,9.54,20.7,0.50,0.25
1160,240,6.40,9.44,31.6,0.52,0.26
1160,240,8.80,9.29,41.3,0.54,0.29
1160,240,11.20,9.10,49.9,0.56,0.32
1160,240,13.60,8.86,57.4,0.57,0.35
1160,240,16.00,8.58,63.7,0.59,0.39
1160,240,18.40,8.25,68.8,0.60,0.44
1160,240,20.80,7.87,72.8,0.61,0.50
1160,240,23.20,7.45,75.7,0.62,0.56
1160,240,25.60,6.98,77.4,0.63,0.63
1160,240,28.00,6.46,78.0,0.63,0.71
1160,240,30.40,5.90,77.4,0.63,0.79
1160,240,32.80,5.30,75.7,0.62,0.89
1160,240,35.20,4.64,72.8,0.61,0.98
1160,240,37.60,3.94,68.8,0.59,1.09
1160,240,40.00,3.20,63.7,0.55,1.20
1450,210,3.35,11.41,20.4,0.51,0.39
1450,210,5.36,11.29,31.1,0.53,0.41
1450,210,7.37,11.11,40.7,0.55,0.45
1450,210,9.38,10.88,49.1,0.57,0.49
1450,210,11.39,10.60,56.5,0.58,0.55
1450,210,13.40,10.26,62.7,0.60,0.61
1450,210,15.41,9.86,67.7,0.61,0.69
1450,210,17.42,9.41,71.7,0.62,0.78
1450,210,19.43,8.91,74.5,0.63,0.88
1450,210,21.44,8.35,76.2,0.64,0.99
1450,210,23.45,7.73,76.8,0.64,1.11
1450,210,25.46,7.06,76.2,0.64,1.24
1450,210,27.47,6.34,74.5,0.64,1.38
1450,210,29.48,5.56,71.7,0.62,1.54
1450,210,31.49,4.72,67.7,0.60,1.70
1450,210,33.50,3.83,62.7,0.56,1.88
1450,225,4.12,13.10,20.5,0.71,0.39
1450,225,6.59,12.96,31.3,0.74,0.41
1450,225,9.06,12.76,41.0,0.77,0.45
1450,225,11.54,12.49,49.5,0.79,0.49
1450,225,14.01,12.17,56.9,0.81,0.55
1450,225,16.48,11.78,63.2,0.84,0.61
1450,225,18.95,11.32,68.3,0.85,0.69
1450,225,21.42,10.81,72.3,0.87,0.78
1450,225,23.90,10.23,75.1,0.88,0.88
1450,225,26.37,9.58,76.8,0.89,0.99
1450,225,28.84,8.88,77.4,0.90,1.11
1450,225,31.31,8.11,76.8,0.90,1.24
1450,225,33.78,7.27,75.1,0.89,1.38
1450,225,36.25,6.38,72.3,0.87,1.54
1450,225,38.73,5.42,68.3,0.84,1.70
1450,225,41.20,4.39,63.2,0.78,1.88
1450,240,5.00,14.90,20.7,0.98,0.39
1450,240,8.00,14.74,31.6,1.02,0.41
1450,240,11.00,14.52,41.3,1.05,0.45
1450,240,14.00,14.22,49.9,1.08,0.49
1450,240,17.00,13.84,57.4,1.12,0.55
1450,240,20.00,13.40,63.7,1.14,0.61
1450,240,23.00,12.88,68.8,1.17,0.69
1450,240,26.00,12.30,72.8,1.19,0.78
1450,240,29.00,11.64,75.7,1.21,0.88
1450,240,32.00,10.90,77.4,1.23,0.99
1450,240,35.00,10.10,78.0,1.23,1.11
1450,240,38.00,9.22,77.4,1.23,1.24
1450,240,41.00,8.28,75.7,1.22,1.38
1450,240,44.00,7.26,72.8,1.19,1.54
1450,240,47.00,6.16,68.8,1.14,1.70
1450,240,50.00,5.00,63.7,1.07,1.88
1750,210,4.04,16.62,20.4,0.90,0.57
1750,210,6.47,16.44,31.1,0.93,0.60
1750,210,8.89,16.19,40.7,0.96,0.65
1750,210,11.32,15.85,49.1,0.99,0.72
1750,210,13.74,15.44,56.5,1.02,0.80
1750,210,16.17,14.94,62.7,1.05,0.90
1750,210,18.60,14.37,67.7,1.07,1.01
1750,210,21.02,13.71,71.7,1.09,1.14
1750,210,23.45,12.98,74.5,1.11,1.28
1750,210,25.87,12.16,76.2,1.12,1.44
1750,210,28.30,11.26,76.8,1.13,1.62
1750,210,30.72,10.29,76.2,1.13,1.81
1750,210,33.15,9.23,74.5,1.12,2.02
1750,210,35.58,8.09,71.7,1.09,2.24
1750,210,38.00,6.87,67.7,1.05,2.48
1750,210,40.43,5.58,62.7,0.98,2.73
1750,225,4.97,19.08,20.5,1.26,0.57
1750,225,7.96,18.88,31.3,1.30,0.60
1750,225,10.94,18.58,41.0,1.35,0.65
1750,225,13.92,18.20,49.5,1.39,0.72
1750,225,16.91,17.72,56.9,1.43,0.80
1750,225,19.89,17.15,63.2,1.47,0.90
1750,225,22.87,16.49,68.3,1.50,1.01
1750,225,25.86,15.74,72.3,1.53,1.14
1750,225,28.84,14.90,75.1,1.56,1.28
1750,225,31.82,13.96,76.8,1.57,1.44
1750,225,34.81,12.93,77.4,1.58,1.62
1750,225,37.79,11.81,76.8,1.58,1.81
1750,225,40.77,10.60,75.1,1.56,2.02
1750,225,43.76,9.29,72.3,1.53,2.24
1750,225,46.74,7.89,68.3,1.47,2.48
1750,225,49.72,6.40,63.2,1.37,2.73
1750,240,6.03,21.70,20.7,1.72,0.57
1750,240,9.66,21.48,31.6,1.79,0.60
1750,240,13.28,21.14,41.3,1.85,0.65
1750,240,16.90,20.71,49.9,1.91,0.72
1750,240,20.52,20.17,57.4,1.96,0.80
1750,240,24.14,19.52,63.7,2.01,0.90
1750,240,27.76,18.77,68.8,2.06,1.01
1750,240,31.38,17.91,72.8,2.10,1.14
1750,240,35.00,16.95,75.7,2.13,1.28
1750,240,38.62,15.88,77.4,2.15,1.44
1750,240,42.24,14.71,78.0,2.17,1.62
1750,240,45.86,13.44,77.4,2.16,1.81
1750,240,49.48,12.05,75.7,2.14,2.02
1750,240,53.10,10.57,72.8,2.10,2.24
1750,240,56.72,8.98,68.8,2.01,2.48
1750,240,60.34,7.28,63.7,1.88,2.73
2900,210,6.70,45.63,20.4,4.08,1.56
2900,210,10.72,45.15,31.1,4.24,1.65
2900,210,14.74,44.46,40.7,4.38,1.79
2900,210,18.76,43.54,49.1,4.52,1.97
2900,210,22.78,42.40,56.5,4.65,2.19
2900,210,26.80,41.04,62.7,4.77,2.46
2900,210,30.82,39.46,67.7,4.88,2.77
2900,210,34.84,37.66,71.7,4.98,3.12
2900,210,38.86,35.64,74.5,5.05,3.52
2900,210,42.88,33.39,76.2,5.11,3.96
2900,210,46.89,30.93,76.8,5.14,4.44
2900,210,50.91,28.25,76.2,5.13,4.97
2900,210,54.93,25.35,74.5,5.08,5.53
2900,210,58.95,22.22,71.7,4.97,6.15
2900,210,62.97,18.88,67.7,4.77,6.80
2900,210,66.99,15.31,62.7,4.45,7.50
2900,225,8.24,52.38,20.5,5.72,1.56
2900,225,13.18,51.83,31.3,5.93,1.65
2900,225,18.13,51.03,41.0,6.14,1.79
2900,225,23.07,49.98,49.5,6.33,1.97
2900,225,28.02,48.67,56.9,6.52,2.19
2900,225,32.96,47.11,63.2,6.69,2.46
2900,225,37.90,45.30,68.3,6.84,2.77
2900,225,42.85,43.23,72.3,6.97,3.12
2900,225,47.79,40.91,75.1,7.08,3.52
2900,225,52.73,38.33,76.8,7.16,3.96
2900,225,57.68,35.51,77.4,7.20,4.44
2900,225,62.62,32.43,76.8,7.19,4.97
2900,225,67.57,29.10,75.1,7.12,5.53
2900,225,72.51,25.51,72.3,6.96,6.15
2900,225,77.45,21.67,68.3,6.69,6.80
2900,225,82.40,17.58,63.2,6.24,7.50
2900,240,10.00,59.60,20.7,7.83,1.56
2900,240,16.00,58.98,31.6,8.13,1.65
2900,240,22.00,58.06,41.3,8.41,1.79
2900,240,28.00,56.86,49.9,8.67,1.97
2900,240,34.00,55.38,57.4,8.93,2.19
2900,240,40.00,53.60,63.7,9.16,2.46
2900,240,46.00,51.54,68.8,9.37,2.77
2900,240,52.00,49.18,72.8,9.55,3.12
2900,240,58.00,46.54,75.7,9.70,3.52
2900,240,64.00,43.62,77.4,9.80,3.96
2900,240,70.00,40.40,78.0,9.86,4.44
2900,240,76.00,36.90,77.4,9.85,4.97
2900,240,82.00,33.10,75.7,9.75,5.53
2900,240,88.00,29.02,72.8,9.54,6.15
2900,240,94.00,24.66,68.8,9.16,6.80
2900,240,100.00,20.00,63.7,8.54,7.50
